ID,Area(m2),Area(km2),Average Distance to Ambulance Station,<- Inverse,<- Percentage,Average Distance to Fire Station,<- Inverse,<- Percentage,Average Distance to Police Station,<- Inverse,<- Percentage,2008 Ambulance Calls,<- Per Area(km2),<- Percentage,2011 Fire Medical Calls + Fire Vehicle Incidents + Fires & Fire Alarms,<- Per Area(km2),<- Percentage,2011 Total Major Crime Incidents,<- Per Area(km2),<- Percentage,,,,,,,,
93,3727362.051,3.727362051,0.012228521,81.77603982,0.008182923,0.008668019,115.3666109,0.008458416,0.017960398,55.67805191,0.007333997,2592,695.3979691,0.009555711,1647,441.8674595,0.009418901,743,199.3366864,0.011885988,,,,,,,,
94,1682721.508,1.682721508,0.015164996,65.94132874,0.006598422,0.006890393,145.1296091,0.010640571,0.022829832,43.80233706,0.00576971,1611,957.3776719,0.013155668,703,417.7756073,0.008905356,220,130.7405883,0.00779576,,,,,,,,
95,2791395.849,2.791395849,0.005842794,171.1510046,0.017126233,0.006712309,148.9800352,0.010922876,0.019524708,51.21715518,0.006746401,3828,1371.356915,0.018844304,2464,882.712497,0.018816008,604,216.3791998,0.012902194,,,,,,,,
96,1923172.033,1.923172033,0.013882127,72.03507022,0.007208193,0.008839934,113.1230142,0.008293921,0.024737375,40.4246614,0.005324797,942,489.8157752,0.006730733,735,382.1810985,0.008146619,91,47.31765981,0.002821443,,,,,,,,
97,1161740.768,1.161740768,0.012381632,80.76479628,0.008081733,0.006184882,161.6845812,0.011854344,0.018704919,53.46187146,0.007042078,711,612.0126101,0.008409883,515,443.3002731,0.009449443,111,95.54627247,0.005697204,,,,,,,,
98,4670670.913,4.670670913,0.016596386,60.25408155,0.006029327,0.009549236,104.7204237,0.007677862,0.021466482,46.58425084,0.006136147,2360,505.2807282,0.006943242,1680,359.6913658,0.007667226,237,50.74217482,0.003025639,,,,,,,,
99,3090057.754,3.090057754,0.018098276,55.25388174,0.005528982,0.012983254,77.02229625,0.005647099,0.017441176,57.33558475,0.007552329,1093,353.7150717,0.004860525,607,196.4364579,0.004187264,135,43.68850383,0.002605045,,,,,,,,
100,1651069.992,1.651069992,0.013950871,71.68011122,0.007172674,0.007715061,129.6166059,0.009503193,0.006474711,154.4470425,0.020343996,523,316.7642817,0.004352771,488,295.5659072,0.006300319,229,138.697936,0.008270239,,,,,,,,
101,2480899.958,2.480899958,0.010621146,94.15180084,0.009421304,0.009671996,103.3912762,0.007580412,0.017104834,58.46300632,0.007700835,812,327.300582,0.004497554,473,190.6566198,0.00406406,92,37.08331717,0.002211193,,,,,,,,
102,1569731.532,1.569731532,0.011495757,86.98861629,0.00870452,0.009189536,108.8194255,0.007978392,0.011544154,86.62393088,0.011410234,1097,698.8456164,0.009603086,714,454.8548497,0.009695742,155,98.74299959,0.005887818,,,,,,,,
103,3243675.757,3.243675757,0.015379793,65.02037926,0.006506267,0.008461682,118.1798154,0.008664674,0.015717477,63.62344088,0.008380575,587,180.9675331,0.002486739,474,146.1305123,0.003114936,191,58.88381401,0.003511106,,,,,,,,
104,1343752.26,1.34375226,0.020869536,47.91673393,0.00479479,0.008641216,115.7244538,0.008484653,0.008942055,111.8311229,0.014730563,2394,1781.578399,0.024481303,1387,1032.184311,0.022002168,355,264.1856022,0.015752779,,,,,,,,
105,2290822.768,2.290822768,0.023854333,41.92110478,0.004194837,0.008375528,119.3954601,0.008753802,0.025303549,39.52014834,0.005205653,588,256.6763384,0.003527081,422,184.2132905,0.003926713,141,61.5499383,0.003670081,,,,,,,,
106,1871939.839,1.871939839,0.016581047,60.30982091,0.006034905,0.009664994,103.4661798,0.007585904,0.01093339,91.46293662,0.012047635,541,289.0050143,0.003971321,398,212.6136704,0.004532099,139,74.25452308,0.004427626,,,,,,,,
107,2220286.457,2.220286457,0.024042393,41.59319676,0.004162025,0.005891673,169.7310728,0.012444295,0.011845095,84.42312945,0.011120341,1415,637.305153,0.008757437,803,361.6650444,0.007709297,307,138.2704466,0.008244748,,,,,,,,
